,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
count,4,0.0,230666.0,230666.0,230666.0,230666,230666,230666.0,230666,230666,214793,214930,230666,230666.0,230666,230666,230666,230666,0.0,10,230666,220045,230665,230666,230616.0,230666.0,230666,230665.0,119808.0,42776.0,230666.0,230666.0,230666.0,230544,230666.0,230666,230666.0,230666.0,230666.0,230666.0,230666.0,230666.0,230666.0,230666.0,230666.0,230408,230666.0,148011,230661,230666.0,65165.0,230666.0,230666,7068.0,7066.0,7068,230666.0,230666.0,230666.0,230604.0,230605.0,230605.0,230605.0,224369.0,230605.0,199789.0,230605.0,230605.0,230605.0,230596.0,230666.0,230605.0,230604.0,230604.0,230666.0,230666.0,228570.0,228463.0,230666.0,230666.0,224424.0,230666.0,230666.0,230666.0,230666.0,228677.0,57548.0,205554.0,82242.0,230666.0,230666.0,230666.0,230666.0,230666.0,230666.0,230666.0,230666.0,230666.0,230666.0,218339.0,230666.0,230666.0,230666.0,230666.0,228550.0,230666.0,230666.0,230666.0,230666.0,230666.0,230666.0,1025.0,1025,1025.0,1025.0,1025.0,1019.0,1025.0,1025.0,1025.0,1025.0,356.0,230666,1386,1386,1386,1386.0,1386.0,1386,1386,1386,1386.0,1386.0,1386,1122.0,1386.0,1386.0,230666,230666,2152,2152,2152,2152.0,2152.0,2152.0
unique,4,,,,,2,117,,7,35,71733,11,5,,3,6,7,2,,7,12,13,899,50,,,654,,,,,,,1137,,2,,,,,,,,,,27,,4,28,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,,,,,,,,,,2,1,9,3,,,15,16,15,,,4,,,,2,2,19,3,22,,,
top,Total amount funded in policy code 2: 520780182,,,,, 36 months,  5.32%,,C,C1,Teacher,10+ years,MORTGAGE,,Source Verified,Mar-2016,Current,n,, ,debt_consolidation,Debt consolidation,750xx,CA,,,Sep-2004,,,,,,,0%,,w,,,,,,,,,,Mar-2018,,Apr-2018,Mar-2018,,,,Individual,,,Not Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dec-2003,,,,,,,,,,N,INTEREST ONLY-3 MONTHS DEFERRAL,NATURAL_DISASTER,COMPLETED,,,Sep-2017,Dec-2017,Sep-2017,,,Late (16-30 days),,,,Cash,N,Feb-2018,ACTIVE,Feb-2018,,,
freq,1,,,,,168530,11985,,70476,17603,4356,79712,114912,,88643,61992,140752,230542,,4,131498,125244,2501,31696,,,1724,,,,,,,887,,181803,,,,,,,,,,145569,,147951,178228,,,,223598,,,6411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,230502,1386,599,958,,,538,333,393,,,517,,,,228907,228514,380,1688,277,,,
mean,,,15282.645361691797,15282.645361691797,15276.518406838151,,,456.67035150382674,,,,,,81427.73335298648,,,,,,,,,,,19.170645748777247,0.3460631389108061,,0.546580538876726,33.70034555288461,67.42706190387133,11.986075104263307,0.2502926309035575,18010.48571094136,,24.767039789132337,,5998.705672314026,5996.72505744232,10376.90528080283,10372.443135789414,8131.189648235973,2164.449206948567,1.2128227395107456,80.05360196127694,14.312589799533285,,3148.1733209393474,,,0.021559310865060303,44.12356326248753,1.0,,113694.47400254667,18.22865128785735,,0.006797707507825167,254.96456781666998,148063.02327174356,0.991635010667638,2.8056590273411244,0.6876303636087683,1.5815225168578304,21.620535813771063,35697.72557836994,69.978076871099,1.3432406062314346,2.860388976821838,6109.914373062163,59.74403285399573,36098.00274422758,0.9440601895015286,1.5089720906835962,2.1166718703925342,4.702305497992769,13714.367605108686,11289.650290939318,58.840122908305155,0.00963731109049448,19.095237269471877,127.129959362635,187.4821039945202,13.541107055222703,8.011423443420357,1.6050523267408288,24.119815285315095,38.24131160075068,6.933710849703727,34.78277522433793,0.5251966046144642,3.78269879392715,5.842369486617013,4.911139916589354,7.796693054026168,8.594951141477287,8.451761421275783,14.316006693660965,5.771838935950682,11.932603851456218,0.0010030274023422293,0.004591053731369166,0.09032540556475596,2.1652692637839994,93.86026852677969,43.31160183767076,0.13639201269367832,0.07544241457345252,185032.56642938274,53701.10592805182,23876.188887829154,45672.75855132529,28634.799024390242,,0.655609756097561,1.721951219512195,11.6,59.09627085377824,2.9014634146341463,13.268292682926829,0.021463414634146343,0.06439024390243903,38.79775280898876,,,,,3.0,166.38608225108246,,,,3.0,11.536075036075037,,486.1540909090901,12788.90260461759,186.95499278499304,,,,,,6223.497802044613,49.65276486988834,14.928438661710038
std,,,9094.974041533234,9094.974041533234,9092.565576611838,,,271.0517589627468,,,,,,151408.27139619802,,,,,,,,,,,11.20256038841345,0.917493553220785,,0.8489563994869411,21.95975327029735,24.901408602624215,5.75614141560395,0.6869522781509629,25071.93134337143,,12.010778050165628,,7094.058848905377,7092.339774984925,8064.123131916643,8061.335120948277,7283.051737071416,2038.8891745093397,9.627408177758785,525.030217853141,93.98572848804197,,6123.900801520675,,,0.16502536504979792,21.747319530638293,0.0,,52182.43213307066,6.9798212182512716,,0.08668644209805587,2753.2500930479614,165057.03040494473,1.1729325459120878,2.98750702762915,0.9290514823386405,1.5971413969369441,26.767828029712415,42946.530025479966,23.434542844905486,1.5140213525286765,2.614408075693891,5910.4064073237205,20.148601492589943,36790.8323406308,1.4727706339165052,2.7403745508627537,2.404280839611178,3.268904814413,16263.613238619899,16262.925602442381,27.992117668101667,0.11246574311472646,844.554230159746,52.58387363265401,98.46440690854409,17.242993834509885,8.957797158083098,1.8904087411168566,32.24044496613197,22.852232068246444,5.913624535802183,22.505498620677244,1.3735884008639307,2.3834813235254773,3.5210300589596852,3.174184907859712,4.706911031232589,7.4389454518901665,4.79046288667138,8.156168056364676,3.3919943283282636,5.731392488689279,0.032651901852231505,0.07085806996339962,0.5120407451006033,1.8898201096722849,9.084732672576754,36.00158183586697,0.3891644189248558,0.48853125194970776,187280.55465307654,50758.542536497844,23282.092970800393,45807.39805169082,20339.92322741336,,0.9928603741518571,1.8413003052257324,6.303520841561486,24.20768330654516,3.260956262655366,8.477637144563218,0.18094749777551483,0.26836863184987897,23.54506845301229,,,,,0.0,126.54587434869715,,,,0.0,10.198063674358997,,371.6391029812318,7410.2836713600145,202.74769967926787,,,,,,4084.0020096183093,7.1849971489368105,8.201466559159677
min,,,1000.0,1000.0,775.0,,,30.12,,,,,,0.0,,,,,,,,,,,-1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,-3.9e-09,0.0,0.0,,0.0,,,0.0,0.0,1.0,,18072.0,0.32,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,7.64,,,,3.0,0.0,,22.92,627.96,0.01,,,,,,259.0,20.0,0.0
25%,,,8000.0,8000.0,8000.0,,,257.66,,,,,,49052.25,,,,,,,,,,,12.47,0.0,,0.0,15.0,52.0,8.0,0.0,6497.0,,16.0,,0.0,0.0,4517.94,4515.48,3057.07,758.0475,0.0,0.0,0.0,,301.15,,,0.0,27.0,1.0,,80000.0,13.23,,0.0,0.0,31528.0,0.0,1.0,0.0,0.0,7.0,9390.0,57.0,0.0,1.0,2549.0,46.0,15400.0,0.0,0.0,0.0,2.0,3260.0,1818.0,37.2,0.0,0.0,101.0,121.0,4.0,3.0,0.0,6.0,19.0,2.0,16.0,0.0,2.0,3.0,3.0,4.0,4.0,5.0,8.0,3.0,8.0,0.0,0.0,0.0,1.0,90.9,0.0,0.0,0.0,53888.25,22716.25,8800.0,16450.25,14384.0,,0.0,0.0,7.0,41.7,1.0,7.0,0.0,0.0,18.0,,,,,3.0,71.1825,,,,3.0,0.0,,201.8475,7050.240000000001,28.305,,,,,,3031.7925000000005,45.0,12.0
50%,,,13650.0,13650.0,13650.0,,,389.4,,,,,,69000.0,,,,,,,,,,,18.43,0.0,,0.0,30.0,70.0,11.0,0.0,12028.0,,23.0,,3531.94,3527.13,8067.635,8064.41,5726.62,1527.275,0.0,0.0,0.0,,521.8,,,0.0,44.0,1.0,,105000.0,17.95,,0.0,0.0,85606.5,1.0,2.0,0.0,1.0,13.0,23792.0,73.0,1.0,2.0,4660.0,61.0,26500.0,0.0,0.0,1.0,4.0,7702.5,5565.5,61.0,0.0,0.0,130.0,170.0,8.0,5.0,1.0,13.0,36.0,5.0,31.0,0.0,3.0,5.0,4.0,7.0,7.0,7.0,13.0,5.0,11.0,0.0,0.0,0.0,2.0,97.4,40.0,0.0,0.0,121279.5,40253.0,17000.0,34540.0,23848.0,,0.0,1.0,11.0,61.2,2.0,12.0,0.0,0.0,38.0,,,,,3.0,131.18,,,,3.0,11.0,,383.925,11428.98,122.765,,,,,,5399.405000000001,50.0,16.0
75%,,,20250.0,20250.0,20250.0,,,610.75,,,,,,97000.0,,,,,,,,,,,25.14,0.0,,1.0,49.0,84.0,15.0,0.0,21433.75,,31.0,,9802.279999999999,9792.2075,13793.55,13785.220000000001,10500.0,2906.375,0.0,0.0,0.0,,1364.04,,,0.0,62.0,1.0,,137000.0,22.9,,0.0,0.0,219795.0,2.0,3.0,1.0,2.0,24.0,46343.0,86.0,2.0,4.0,7914.0,74.0,44800.0,1.0,2.0,3.0,6.0,18889.5,13996.0,83.4,0.0,0.0,154.0,240.0,16.0,10.0,3.0,28.0,56.0,10.0,50.0,0.0,5.0,7.0,6.0,10.0,11.0,11.0,18.0,7.0,15.0,0.0,0.0,0.0,3.0,100.0,75.0,0.0,0.0,266335.0,67672.5,31100.0,61142.0,36388.0,,1.0,3.0,15.0,78.55,4.0,17.0,0.0,0.0,57.0,,,,,3.0,231.8825,,,,3.0,21.0,,676.335,17468.045,278.7575,,,,,,8278.53,50.01,18.0
